state,x,y
Abia,-74.0,-243.0
Adamawa,253.0,37.0
Akwa Ibom,-60.0,-293.0
Anambra,-115.0,-205.0
Bauchi,50.0,92.0
Bayelsa,-180.0,-298.0
Benue,-13.0,-119.0
Borno,307.0,192.0
Cross River,-20.0,-235.0
Delta,-210.0,-242.0
Ebonyi,-42.0,-189.0
Edo,-207.0,-179.0
Ekiti,-278.0,-113.0
Enugu,-80.0,-176.0
Abuja,-105.0,-15.0
Gombe,175.0,84.0
Imo,-110.0,-240.0
Jigawa,49.0,227.0
Kaduna,-82.0,91.0
Kano,-31.0,197.0
Katsina,-77.0,252.0
Kebbi,-314.0,201.0
Kogi,-174.0,-78.0
Kwara,-270.0,-25.0
Lagos,-367.0,-182.0
Nasarawa,-40.0,-38.0
Niger,-237.0,56.0
Ogun,-377.0,-141.0
Ondo,-256.0,-150.0
Osun,-287.0,-106.0
Oyo,-357.0,-58.0
Plateau,38.0,6.0
Rivers,-129.0,-282.0
Sokoto,-227.0,273.0
Taraba,73.0,-72.0
Yobe,180.0,233.0
Zamfara,-170.0,214.0
